Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch1_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch2_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch3_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch5_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch4_corr_probe[31:0]
77,77,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
78,78,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
79,79,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
80,80,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
81,81,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
82,82,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
83,83,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
84,84,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
85,85,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
86,86,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
87,87,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
88,88,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
89,89,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
90,90,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
91,91,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
92,92,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
93,93,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
94,94,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
95,95,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
96,96,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
97,97,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
98,98,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
99,99,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
100,100,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
101,101,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
102,102,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
103,103,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
104,104,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
105,105,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
106,106,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
107,107,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
108,108,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
109,109,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
110,110,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
111,111,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
112,112,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
113,113,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
114,114,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
115,115,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
116,116,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
117,117,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
118,118,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
119,119,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
120,120,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
121,121,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
122,122,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
123,123,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
124,124,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
125,125,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
126,126,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
127,127,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
128,128,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
129,129,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
130,130,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
131,131,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
132,132,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
133,133,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
134,134,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
135,135,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
136,136,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
137,137,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
138,138,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
139,139,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
140,140,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
141,141,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
142,142,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
143,143,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
144,144,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
145,145,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
146,146,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
147,147,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
148,148,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
149,149,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
150,150,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
151,151,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
152,152,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
153,153,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
154,154,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
155,155,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
156,156,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
